,Country,Sector,Industry,Length_of_Business_Summary,Currency
DCFC,Australia,Industrials,Electrical Equipment & Parts,671,USD
AKAO,,,,0,
LRN,United States,Consumer Defensive,Education & Training Services,1661,USD
PERY,,,,0,
WYY,United States,Technology,Information Technology Services,1411,USD
BMRC,United States,Financial Services,Banks - Regional,1339,USD
ITRN,Israel,Technology,Scientific & Technical Instruments,1985,USD
HSTM,United States,Healthcare,Health Information Services,844,USD
TTGT,United States,Communication Services,Internet Content & Information,1816,USD
SCU,,,,0,
LAMR,United States,Real Estate,REIT - Specialty,402,USD
ASTE,United States,Industrials,Farm & Heavy Construction Machinery,1891,USD
MTW,United States,Industrials,Farm & Heavy Construction Machinery,1337,USD
BK,United States,Financial Services,Asset Management,1850,USD
BPL,,,,0,
NSPR,Israel,Healthcare,Medical Devices,889,USD
GFS,United States,Technology,Semiconductors,423,USD
MNSO,China,Consumer Cyclical,Specialty Retail,685,USD
RAYA,China,Industrials,Electrical Equipment & Parts,772,USD
TILE,United States,Industrials,Building Products & Equipment,1356,USD
SPWR,United States,Technology,Solar,872,USD
VALN,France,Healthcare,Biotechnology,1453,USD
SY,China,Healthcare,Health Information Services,1835,USD
TYPE,,,,0,
DGHI,United States,Technology,Software - Application,367,USD
MCC,,,,0,
CYCC,United States,Healthcare,Biotechnology,1109,USD
ITGR,United States,Healthcare,Medical Devices,1935,USD
CHNG,,,,0,
RIDE,,,,0,USD
TBPH,United States,Healthcare,Biotechnology,769,USD
CEO,,,,0,
SMPL,United States,Consumer Defensive,Packaged Foods,987,USD
SHYF,United States,Industrials,Farm & Heavy Construction Machinery,1917,USD
IOVA,United States,Healthcare,Biotechnology,1392,USD
OSIS,United States,Technology,Electronic Components,1997,USD
MYRG,United States,Industrials,Engineering & Construction,1974,USD
WRAP,United States,Technology,Scientific & Technical Instruments,657,USD
SBFG,United States,Financial Services,Banks - Regional,1100,USD
SKY,United States,Consumer Cyclical,Residential Construction,1055,USD
VNCE,United States,Consumer Cyclical,Apparel Manufacturing,935,USD
KNOP,United Kingdom,Industrials,Marine Shipping,326,USD
DTI,United States,Energy,Oil & Gas Equipment & Services,1460,USD
NEE,United States,Utilities,Utilities - Regulated Electric,1116,USD
SMCI,United States,Technology,Computer Hardware,1831,USD
SITE,United States,Industrials,Industrial Distribution,1706,USD
KRNT,Israel,Industrials,Specialty Industrial Machinery,824,USD
AMPX,United States,Industrials,Electrical Equipment & Parts,424,USD
UNP,United States,Industrials,Railroads,745,USD
GZT,,,,0,
ASC,Bermuda,Industrials,Marine Shipping,446,USD
SOHU,China,Communication Services,Electronic Gaming & Multimedia,1054,USD
INTA,United States,Technology,Software - Application,1837,USD
TAHO,,,,0,
NRGV,United States,Utilities,Utilities - Renewable,843,USD
MILE,,,,0,
HTGM,,,,0,
YMTX,,,,0,
ALB,United States,Basic Materials,Specialty Chemicals,1472,USD
MODG,United States,Consumer Cyclical,Leisure,1971,USD
HFC,,,,0,
HE,United States,Utilities,Utilities - Regulated Electric,1245,USD
MAT,United States,Consumer Cyclical,Leisure,1565,USD
MDC,,,,0,
NNBR,United States,Industrials,Conglomerates,1214,USD
CLD,,,,0,
RPXC,,,,0,
AXNX,United States,Healthcare,Medical Devices,1121,USD
ARTNA,United States,Utilities,Utilities - Regulated Water,1351,USD
BLD,United States,Industrials,Engineering & Construction,1418,USD
ATR,United States,Healthcare,Medical Instruments & Supplies,908,USD
BFIN,United States,Financial Services,Banks - Regional,1264,USD
SXE,,,,0,
TTEC,United States,Technology,Information Technology Services,1678,USD
DRMA,United States,Healthcare,Biotechnology,766,USD
OSTK,,,,0,USD
FRME,United States,Financial Services,Banks - Regional,741,USD
GALE,,,,0,
ETFC,,,,0,
HEAR,United States,Technology,Consumer Electronics,850,USD
EHAB,United States,Healthcare,Medical Care Facilities,1256,USD
IE,United States,Basic Materials,Copper,277,USD
GAMB,Jersey,Consumer Cyclical,Gambling,472,USD
TFFP,United States,Healthcare,Biotechnology,1013,USD
JAG,,,,0,
FOMX,,,,0,
GPT,,,,0,
SVC,United States,Real Estate,REIT - Hotel & Motel,873,USD
VR,,,,437,USD
TDUP,United States,Consumer Cyclical,Internet Retail,306,USD
CXT,United States,Industrials,Specialty Industrial Machinery,748,USD
HIMS,United States,Consumer Defensive,Household & Personal Products,1318,USD
CENT,United States,Consumer Defensive,Packaged Foods,1689,USD
AMX,Mexico,Communication Services,Telecom Services,1588,USD
SBT,United States,Financial Services,Banks - Regional,636,USD
PSXP,,,,0,
BSM,United States,Energy,Oil & Gas E&P,414,USD
FARM,United States,Consumer Defensive,Packaged Foods,1078,USD
WMT,United States,Consumer Defensive,Discount Stores,2000,USD
GRNT,United States,Energy,Oil & Gas E&P,275,USD
PJC,,,,0,
BCAB,United States,Healthcare,Biotechnology,1054,USD
CECE,,,,0,
ERF,Canada,Energy,Oil & Gas E&P,393,USD
FWONK,United States,Communication Services,Entertainment,744,USD
VCNX,United States,Healthcare,Biotechnology,1486,USD
NVMI,Israel,Technology,Semiconductor Equipment & Materials,892,USD
STR,United States,Energy,Oil & Gas E&P,477,USD
MPVD,,,,0,
MRAM,United States,Technology,Semiconductors,787,USD
RCKT,United States,Healthcare,Biotechnology,1326,USD
AIH,China,Healthcare,Medical Care Facilities,746,USD
TPVG,United States,Financial Services,Asset Management,1749,USD
AKRX,,,,0,
SPH,United States,Utilities,Utilities - Regulated Gas,1716,USD
CORT,United States,Healthcare,Biotechnology,1260,USD
BFAM,United States,Consumer Cyclical,Personal Services,1383,USD
PECO,United States,Real Estate,REIT - Retail,941,USD
INDP,United States,Healthcare,Biotechnology,622,USD
BR,United States,Technology,Information Technology Services,1998,USD
BNTX,Germany,Healthcare,Biotechnology,2132,USD
CZOO,United Kingdom,Consumer Cyclical,Auto & Truck Dealerships,347,USD
EWCZ,United States,Consumer Defensive,Household & Personal Products,351,USD
CHMA,,,,0,
RNW,United Kingdom,Utilities,Utilities - Renewable,672,USD
ALKT,United States,Technology,Software - Application,461,USD
LFG,,,,0,
WTBA,United States,Financial Services,Banks - Regional,1124,USD
RVYL,United States,Technology,Software - Infrastructure,1014,USD
SBSW,South Africa,Basic Materials,Other Precious Metals & Mining,513,USD
SIMO,Hong Kong,Technology,Semiconductors,1112,USD
TH,United States,Industrials,Specialty Business Services,666,USD
MUX,Canada,Basic Materials,Other Precious Metals & Mining,1266,USD
HMC,Japan,Consumer Cyclical,Auto Manufacturers,1280,USD
NIHD,,,,0,
GFAI,Singapore,Industrials,Security & Protection Services,1708,USD
YJ,China,Consumer Cyclical,Internet Retail,484,USD
EEIQ,United States,Consumer Defensive,Education & Training Services,1233,USD
SPN,,,,0,
CARE,United States,Financial Services,Banks - Regional,1283,USD
AT,,,,0,
SITM,United States,Technology,Semiconductors,584,USD
UNCY,United States,Healthcare,Biotechnology,682,USD
LNZA,United States,Industrials,Waste Management,599,USD
CDMO,United States,Healthcare,Biotechnology,807,USD
RXO,United States,Industrials,Trucking,252,USD
NP,,,,0,
TRX,Canada,Basic Materials,Gold,626,USD
WIT,India,Technology,Information Technology Services,1482,USD
ANGI,United States,Communication Services,Internet Content & Information,1924,USD
BA,United States,Industrials,Aerospace & Defense,1471,USD
FCBC,United States,Financial Services,Banks - Regional,894,USD
JRSH,United States,Consumer Cyclical,Apparel Manufacturing,458,USD
IMKTA,United States,Consumer Defensive,Grocery Stores,966,USD
APU,,,,0,
PROF,Canada,Healthcare,Medical Devices,885,USD
SJI,,,,0,
FLNT,United States,Communication Services,Advertising Agencies,703,USD
NGG,United Kingdom,Utilities,Utilities - Regulated Electric,1354,USD
FIHL,Bermuda,Financial Services,Insurance - Diversified,883,USD
RS,United States,Basic Materials,Steel,857,USD
BLFS,United States,Healthcare,Medical Instruments & Supplies,1443,USD
TGP,,,,0,
OMQS,United States,Technology,Software - Application,1809,USD
EPAY,,,,0,
CB,Switzerland,Financial Services,Insurance - Property & Casualty,1993,USD
OIS,United States,Energy,Oil & Gas Equipment & Services,1933,USD
RDY,India,Healthcare,Drug Manufacturers - Specialty & Generic,1442,USD
ASH,United States,Basic Materials,Specialty Chemicals,1956,USD
KTRA,United States,Healthcare,Biotechnology,1042,USD
AMTD,France,Financial Services,Asset Management,1684,USD
ARDS,United States,Healthcare,Biotechnology,1376,USD
FLY,,,,0,
ING,Netherlands,Financial Services,Banks - Diversified,906,USD
PBYI,United States,Healthcare,Biotechnology,1309,USD
CTL,,,,0,
VRM,United States,Consumer Cyclical,Auto & Truck Dealerships,524,USD
RFIL,United States,Industrials,Electrical Equipment & Parts,1666,USD
SAGE,United States,Healthcare,Biotechnology,1434,USD
GLTO,Denmark,Healthcare,Biotechnology,667,USD
CHWY,United States,Consumer Cyclical,Internet Retail,417,USD
LEGH,United States,Consumer Cyclical,Residential Construction,963,USD
SCNI,Israel,Healthcare,Biotechnology,744,USD
NTB,Bermuda,Financial Services,Banks - Diversified,1467,USD
NMRX,,,,0,
TROX,United States,Basic Materials,Chemicals,617,USD
COHU,United States,Technology,Semiconductor Equipment & Materials,1447,USD
CWAN,United States,Technology,Software - Application,1518,USD
CGNT,Israel,Technology,Software - Infrastructure,920,USD
MNDY,Israel,Technology,Software - Application,1084,USD
THTX,Canada,Healthcare,Biotechnology,1170,USD
ABY,,,,0,
SAVE,United States,Industrials,Airlines,498,USD
FYBR,United States,Communication Services,Telecom Services,859,USD
CAVA,United States,Consumer Cyclical,Restaurants,348,USD
IFF,United States,Basic Materials,Specialty Chemicals,1936,USD
URBN,United States,Consumer Cyclical,Apparel Retail,1626,USD
HY,United States,Industrials,Farm & Heavy Construction Machinery,1372,USD
EVBN,United States,Financial Services,Banks - Regional,1021,USD
MUR,United States,Energy,Oil & Gas E&P,432,USD
ICMB,United States,Financial Services,Asset Management,1012,USD
ZKIN,China,Basic Materials,Steel,1132,USD
EVTC,United States,Technology,Software - Infrastructure,1668,USD
ABST,,,,0,
LTC,United States,Real Estate,REIT - Healthcare Facilities,502,USD
USG,,,,309,USD
TIG,,,,0,USD
SNEX,United States,Financial Services,Capital Markets,1799,USD
RSPP,,,,0,
SFUN,,,,0,
NEON,Sweden,Technology,Electronic Components,898,USD
MC,United States,Financial Services,Capital Markets,650,USD
ETRN,United States,Energy,Oil & Gas Midstream,651,USD
VAXX,United States,Healthcare,Biotechnology,1239,USD
ADT,United States,Industrials,Security & Protection Services,1551,USD
OLED,United States,Technology,Electronic Components,1155,USD
UEC,United States,Energy,Uranium,837,USD
VVI,United States,Industrials,Specialty Business Services,1140,USD
DF,,,,0,
BANC,United States,Financial Services,Banks - Regional,1458,USD
CWCO,Cayman Islands,Utilities,Utilities - Regulated Water,1369,USD
EEQ,,,,0,
RNAZ,United States,Healthcare,Biotechnology,1136,USD
ACGL,Bermuda,Financial Services,Insurance - Diversified,1747,USD
MESA,United States,Industrials,Airlines,427,USD
CVE,Canada,Energy,Oil & Gas Integrated,1394,USD
SIVB,,,,0,USD
DRTS,Israel,Healthcare,Biotechnology,669,USD
CRTO,France,Communication Services,Advertising Agencies,1849,USD
PKI,,,,0,
SSB,United States,Financial Services,Banks - Regional,1702,USD
DMTK,United States,Healthcare,Diagnostics & Research,1255,USD
ARBK,United Kingdom,Financial Services,Capital Markets,422,USD
NXST,United States,Communication Services,Entertainment,1605,USD
BOKF,United States,Financial Services,Banks - Regional,1802,USD
RVI,,,,0,
AIRI,United States,Industrials,Aerospace & Defense,718,USD
LQR,United States,Consumer Defensive,Beverages - Wineries & Distilleries,440,USD
EACQ,,,,0,
JMIA,Germany,Consumer Cyclical,Internet Retail,1094,USD
GSV,Canada,,,497,USD
GTN,United States,Communication Services,Broadcasting,753,USD
IVZ,United States,Financial Services,Asset Management,1700,USD
BBW,United States,Consumer Cyclical,Specialty Retail,828,USD
CRMT,United States,Consumer Cyclical,Auto & Truck Dealerships,269,USD
PSTV,United States,Healthcare,Biotechnology,949,USD
COMS,United States,Communication Services,Telecom Services,1051,USD
GNC,,,,0,
MLCO,Hong Kong,Consumer Cyclical,Resorts & Casinos,1618,USD
SO,United States,Utilities,Utilities - Regulated Electric,1235,USD
PEAR,,,,0,
VIRT,United States,Financial Services,Capital Markets,900,USD
CVLY,United States,Financial Services,Banks - Regional,1009,USD
GCMG,United States,Financial Services,Asset Management,1408,USD
BRZE,United States,Technology,Software - Application,1984,USD
COP,United States,Energy,Oil & Gas E&P,568,USD
SHPG,,,,0,
VLP,,,,0,
CHSP,,,,0,
TWST,United States,Healthcare,Diagnostics & Research,1987,USD
ELYM,United States,Healthcare,Biotechnology,330,USD
DRNA,,,,0,
BNOX,Australia,Healthcare,Biotechnology,1009,USD
RXII,,,,0,
QTRX,United States,Healthcare,Medical Devices,1644,USD
BITF,Canada,Financial Services,Capital Markets,521,USD
NSR,,,,0,
CLDI,United States,Healthcare,Biotechnology,908,USD
EGLE,,,,0,
BWEN,United States,Industrials,Specialty Industrial Machinery,1643,USD
KIM,United States,Real Estate,REIT - Retail,1125,USD
MEI,United States,Technology,Electronic Components,1992,USD
RITM,United States,Real Estate,REIT - Mortgage,1037,USD
FBP,United States,Financial Services,Banks - Regional,1827,USD
RBC,United States,Industrials,Tools & Accessories,1998,USD
ZVRA,United States,Healthcare,Biotechnology,1413,USD
TCBI,United States,Financial Services,Banks - Regional,1980,USD
OLBK,,,,0,
VTRS,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1692,USD
ARMK,United States,Industrials,Specialty Business Services,1716,USD
EFII,,,,0,
BWB,United States,Financial Services,Banks - Regional,1023,USD
EYPT,United States,Healthcare,Biotechnology,1097,USD
CFB,United States,Financial Services,Banks - Regional,1391,USD
ANDV,,,,0,
HYFM,United States,Industrials,Farm & Heavy Construction Machinery,1457,USD
IMMU,,,,0,
SIFY,India,Communication Services,Telecom Services,1710,USD
FREQ,,,,0,
ONEW,United States,Consumer Cyclical,Specialty Retail,574,USD
RVSN,Israel,Industrials,Railroads,961,USD
BLDE,United States,Industrials,Airports & Air Services,322,USD
EXPR,,,,0,
TUFN,,,,0,
MNRL,,,,0,
AWI,United States,Industrials,Building Products & Equipment,947,USD
DEA,United States,Real Estate,REIT - Office,473,USD
DBVT,France,Healthcare,Biotechnology,1026,USD
UFI,United States,Consumer Cyclical,Textile Manufacturing,1015,USD
XSPA,,,,0,
LBTYA,Bermuda,Communication Services,Telecom Services,1571,USD
ARW,United States,Technology,Electronics & Computer Distribution,1271,USD
KW,United States,Real Estate,Real Estate Services,675,USD
PHG,Netherlands,Healthcare,Medical Devices,1571,USD
AFIB,United States,Healthcare,Medical Devices,537,USD
KB,South Korea,Financial Services,Banks - Regional,1647,USD
PMTS,United States,Financial Services,Credit Services,1394,USD
QIWI,Cyprus,Technology,Software - Infrastructure,728,USD
LEVI,United States,Consumer Cyclical,Apparel Manufacturing,1120,USD
LTHM,,,,0,
NGVC,United States,Consumer Defensive,Grocery Stores,1678,USD
SGRY,United States,Healthcare,Medical Care Facilities,768,USD
TMBR,,,,0,
SHIM,United States,Industrials,Engineering & Construction,688,USD
INVH,United States,Real Estate,REIT - Residential,513,USD
OZK,United States,Financial Services,Banks - Regional,1661,USD
TGEN,United States,Industrials,Electrical Equipment & Parts,1737,USD
ZEUS,United States,Basic Materials,Steel,1993,USD
MRVI,United States,Healthcare,Biotechnology,1787,USD
BPI,,,,0,
DXTR,,,,0,
FNCH,United States,Healthcare,Biotechnology,832,USD
ARCW,,,,0,
SLGG,,,,0,
STEM,United States,Technology,Software - Infrastructure,704,USD
IMPL,,,,0,
CTS,United States,Technology,Electronic Components,1171,USD
ASLN,Singapore,Healthcare,Biotechnology,841,USD
BEEM,United States,Technology,Solar,1693,USD
SWK,United States,Industrials,Tools & Accessories,1972,USD
ORN,United States,Industrials,Engineering & Construction,1936,USD
LNC,United States,Financial Services,Insurance - Life,1665,USD
CLIR,United States,Industrials,Pollution & Treatment Controls,1246,USD
POLA,United States,Industrials,Electrical Equipment & Parts,808,USD
SUNS,,,,0,
YPF,Argentina,Energy,Oil & Gas Integrated,1249,USD
HWC,United States,Financial Services,Banks - Regional,1307,USD
HBM,Canada,Basic Materials,Copper,533,USD
BRTX,United States,Healthcare,Biotechnology,1330,USD
LNTH,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1997,USD
ESPR,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1045,USD
LUMO,United States,Healthcare,Biotechnology,623,USD
IIVI,,,,0,
MHO,United States,Consumer Cyclical,Residential Construction,958,USD
RMP,,,,0,
IIIV,United States,Technology,Software - Infrastructure,1666,USD
REUN,,,,0,
CAN,Singapore,Technology,Computer Hardware,617,USD
SCHW,United States,Financial Services,Capital Markets,1897,USD
KERN,,,,0,
FRGI,,,,0,
SANM,United States,Technology,Electronic Components,1433,USD
METC,United States,Basic Materials,Coking Coal,924,USD
ZIMV,United States,Healthcare,Medical Devices,1653,USD
OMER,United States,Healthcare,Biotechnology,1520,USD
KMG,,,,0,
SHLM,,,,0,
BVN,Peru,Basic Materials,Other Precious Metals & Mining,866,USD
MOH,United States,Healthcare,Healthcare Plans,380,USD
KALU,United States,Basic Materials,Aluminum,1603,USD
TRNO,United States,Real Estate,REIT - Industrial,998,USD
GOOGL,United States,Communication Services,Internet Content & Information,1066,USD
THS,United States,Consumer Defensive,Packaged Foods,965,USD
NAPA,United States,Consumer Defensive,Beverages - Wineries & Distilleries,615,USD
WM,United States,Industrials,Waste Management,1729,USD
SIM,Mexico,Basic Materials,Steel,1024,USD
VIVO,,,,0,
X,United States,Basic Materials,Steel,1454,USD
AVB,United States,Real Estate,REIT - Residential,1101,USD
IBP,United States,Consumer Cyclical,Residential Construction,1576,USD
MPLN,United States,Healthcare,Health Information Services,1553,USD
NLNK,,,,0,
FHB,United States,Financial Services,Banks - Regional,1214,USD
BRNS,United Kingdom,Healthcare,Biotechnology,1964,USD
VVV,United States,Consumer Cyclical,Auto & Truck Dealerships,609,USD
OSK,United States,Industrials,Farm & Heavy Construction Machinery,1854,USD
FAT,United States,Consumer Cyclical,Restaurants,721,USD
WDFC,United States,Basic Materials,Specialty Chemicals,1728,USD
ORGO,United States,Healthcare,Drug Manufacturers - Specialty & Generic,1826,USD
SRCL,United States,Industrials,Waste Management,1606,USD
KMT,United States,Industrials,Tools & Accessories,1816,USD
RDC,,,,0,
PROV,United States,Financial Services,Banks - Regional,874,USD
ACNT,United States,Basic Materials,Steel,1178,USD
CVI,United States,Energy,Oil & Gas Refining & Marketing,1285,USD
ACHN,,,,0,
DL,,,,0,
NWS,United States,Communication Services,Entertainment,1674,USD
STBA,United States,Financial Services,Banks - Regional,967,USD
BTU,United States,Energy,Thermal Coal,1075,USD
SCM,United States,Financial Services,Asset Management,402,USD
CTSO,United States,Healthcare,Medical Devices,1983,USD
ZENV,Brazil,Technology,Software - Application,1520,USD
CCC,,,,0,
OMAB,Mexico,Industrials,Airports & Air Services,1699,USD
NURO,United States,Healthcare,Medical Devices,1058,USD
LENS,,,,0,
CFR,United States,Financial Services,Banks - Regional,1995,USD
ORGN,United States,Basic Materials,Chemicals,418,USD
SLCT,,,,0,
PZZA,United States,Consumer Cyclical,Restaurants,523,USD
IPI,United States,Basic Materials,Agricultural Inputs,1133,USD
DAIO,United States,Technology,Electronic Components,1411,USD
BFLY,United States,Healthcare,Medical Devices,1283,USD
GHI,United States,Financial Services,Mortgage Finance,792,USD
TVTY,,,,0,
KAL,,,,0,
WTR,,,,0,
HUYA,China,Communication Services,Entertainment,718,USD
PFG,United States,Financial Services,Asset Management,1940,USD
MYFW,United States,Financial Services,Banks - Regional,750,USD
PRM,United States,Basic Materials,Specialty Chemicals,799,USD
GTLS,United States,Industrials,Specialty Industrial Machinery,1679,USD
MLI,United States,Industrials,Metal Fabrication,1778,USD
JAGX,United States,Healthcare,Biotechnology,1323,USD
MF,,,,0,USD
III,United States,Technology,Information Technology Services,1741,USD
HOG,United States,Consumer Cyclical,Recreational Vehicles,1331,USD
IFRX,Germany,Healthcare,Biotechnology,1642,USD
BZUN,China,Consumer Cyclical,Internet Retail,1034,USD
DLPH,,,,0,
IMMX,United States,Healthcare,Biotechnology,654,USD
VEC,,,,0,
BSX,United States,Healthcare,Medical Devices,1863,USD
HUBB,United States,Industrials,Electrical Equipment & Parts,1838,USD
NIR,,,,0,USD
ABNB,United States,Consumer Cyclical,Travel Services,521,USD
CRGO,Israel,Industrials,Integrated Freight & Logistics,706,USD
PGNX,,,,0,
KNF,United States,Basic Materials,Building Materials,1131,USD
CYTK,United States,Healthcare,Biotechnology,1022,USD
ETE,,,,0,
SMTI,United States,Healthcare,Medical Instruments & Supplies,1584,USD
MFIN,United States,Financial Services,Credit Services,1013,USD
CZR,United States,Consumer Cyclical,Resorts & Casinos,746,USD
TTD,United States,Technology,Software - Application,688,USD
PING,,,,0,
MYTE,Germany,Consumer Cyclical,Luxury Goods,478,USD
BBAR,Argentina,Financial Services,Banks - Regional,1226,USD
AFIN,,,,0,
DNR,,,,0,
SSNI,,,,0,
LABL,,,,0,
GNLN,United States,Consumer Defensive,Tobacco,897,USD
CVLT,United States,Technology,Software - Application,1911,USD
MBIO,United States,Healthcare,Biotechnology,1104,USD
USCB,United States,Financial Services,Banks - Regional,966,USD
DWDP,,,,0,
WRE,,,,0,
NAOV,United States,Healthcare,Medical Devices,1012,USD
SKIL,United States,Consumer Defensive,Education & Training Services,1109,USD
MASS,United States,Healthcare,Medical Devices,1320,USD
QEP,,,,0,
REPL,United States,Healthcare,Biotechnology,871,USD
WING,United States,Consumer Cyclical,Restaurants,388,USD
CORI,,,,0,
BFR,,,,0,
ZEV,,,,0,
TRIL,,,,0,
MNMD,United States,Healthcare,Biotechnology,534,USD
CIEN,United States,Technology,Communication Equipment,1485,USD
BILI,China,Communication Services,Electronic Gaming & Multimedia,689,USD
ALDR,,,,0,
STC,United States,Financial Services,Insurance - Property & Casualty,919,USD
THO,United States,Consumer Cyclical,Recreational Vehicles,650,USD
RST,,,,0,
ATHM,China,Communication Services,Internet Content & Information,1038,USD
SPT,United States,Technology,Software - Application,1836,USD
SPWH,United States,Consumer Cyclical,Specialty Retail,1564,USD
MFC,Canada,Financial Services,Insurance - Life,1545,USD
GATX,United States,Industrials,Rental & Leasing Services,1300,USD
USDP,United States,Industrials,Railroads,1220,USD
RDS.A,,,,0,
SUI,United States,Real Estate,REIT - Residential,455,USD
PLSE,United States,Healthcare,Medical Instruments & Supplies,605,USD
EVTL,United Kingdom,Industrials,Aerospace & Defense,380,USD
DOV,United States,Industrials,Specialty Industrial Machinery,1994,USD
GPK,United States,Consumer Cyclical,Packaging & Containers,1066,USD
NMRK,United States,Real Estate,Real Estate Services,1379,USD
HDB,India,Financial Services,Banks - Regional,1926,USD
OBT,United States,Financial Services,Banks - Regional,991,USD
PHUN,United States,Technology,Software - Application,1537,USD
PLAB,United States,Technology,Semiconductor Equipment & Materials,841,USD
APPS,United States,Technology,Software - Application,1251,USD
LVS,United States,Consumer Cyclical,Resorts & Casinos,637,USD
GPRK,Colombia,Energy,Oil & Gas E&P,446,USD
FRED,,,,0,
BNGO,United States,Healthcare,Medical Instruments & Supplies,1654,USD
ALVR,United States,Healthcare,Biotechnology,851,USD
WRB,United States,Financial Services,Insurance - Property & Casualty,1924,USD
BMO,Canada,Financial Services,Banks - Diversified,1965,USD
